edge_id,from_station,to_station,edge_type,approx_km
131,Kyzylorda East,Kyzylorda South,local,43.0
132,Baikonur Central,Baikonur North,local,31.1
133,Baikonur Central,Baikonur East,local,29.8
134,Baikonur Central,Baikonur South,local,31.1
135,Baikonur North,Baikonur East,local,43.0
136,Baikonur East,Baikonur South,local,43.0
137,Aral Central,Aral North,local,31.1
138,Aral Central,Aral East,local,29.8
139,Aral Central,Aral South,local,31.1
140,Aral North,Aral East,local,43.0
141,Aral East,Aral South,local,43.0
142,Aktobe Central,Aktobe North,local,31.1
143,Aktobe Central,Aktobe East,local,29.8
144,Aktobe Central,Aktobe South,local,31.1
145,Aktobe Central,Aktobe West,local,29.8
146,Aktobe Central,Aktobe Junction,local,24.6
147,Aktobe North,Aktobe East,local,43.0
148,Aktobe East,Aktobe South,local,43.0
149,Aktobe South,Aktobe West,local,43.0
150,Aktobe West,Aktobe Junction,local,50.0
151,Kandyagash Central,Kandyagash North,local,31.1
152,Kandyagash Central,Kandyagash East,local,29.8
153,Kandyagash Central,Kandyagash South,local,31.1
154,Kandyagash North,Kandyagash East,local,43.0
155,Kandyagash East,Kandyagash South,local,43.0
156,Atyrau Central,Atyrau North,local,31.1
157,Atyrau Central,Atyrau East,local,29.8
158,Atyrau Central,Atyrau South,local,31.1
159,Atyrau North,Atyrau East,local,43.0
160,Atyrau East,Atyrau South,local,43.0
161,Aksaray Central,Aksaray North,local,31.1
162,Aksaray Central,Aksaray East,local,29.8
163,Aksaray Central,Aksaray South,local,31.1
164,Aksaray North,Aksaray East,local,43.0
165,Aksaray East,Aksaray South,local,43.0
166,Aktau Central,Aktau North,local,31.1
167,Aktau Central,Aktau East,local,29.7
168,Aktau Central,Aktau South,local,31.1
169,Aktau North,Aktau East,local,43.0
170,Aktau East,Aktau South,local,43.0
171,Zhanaozen Central,Zhanaozen North,local,31.1
172,Zhanaozen Central,Zhanaozen East,local,29.8
173,Zhanaozen Central,Zhanaozen South,local,31.1
174,Zhanaozen North,Zhanaozen East,local,43.0
175,Zhanaozen East,Zhanaozen South,local,43.0
176,Beyneu Central,Beyneu North,local,31.1
177,Beyneu Central,Beyneu East,local,29.7
178,Beyneu Central,Beyneu South,local,31.1
179,Beyneu North,Beyneu East,local,43.0
180,Beyneu East,Beyneu South,local,43.0
181,Oral Central,Oral North,local,31.1
182,Oral Central,Oral East,local,29.8
183,Oral Central,Oral South,local,31.1
184,Oral North,Oral East,local,43.0
185,Oral East,Oral South,local,43.0
186,Shalkar Central,Shalkar North,local,31.1
187,Shalkar Central,Shalkar East,local,29.8
188,Shalkar Central,Shalkar South,local,31.1
189,Shalkar North,Shalkar East,local,43.0
190,Shalkar East,Shalkar South,local,43.0
191,Makat Central,Makat North,local,31.1
192,Makat Central,Makat East,local,29.8
193,Makat Central,Makat South,local,31.1
194,Makat North,Makat East,local,43.0
195,Makat East,Makat South,local,43.0
196,Oral Central,Atyrau Central,corridor,460.8
197,Atyrau Central,Makat Central,corridor,136.0
198,Makat Central,Beyneu Central,corridor,302.7
199,Beyneu Central,Aktau Central,corridor,387.2
200,Beyneu Central,Zhanaozen Central,corridor,296.4
201,Aktobe Central,Kandyagash Central,corridor,92.6
202,Kandyagash Central,Shalkar Central,corridor,260.4
203,Shalkar Central,Aral Central,corridor,208.4
204,Aral Central,Kyzylorda Central,corridor,391.6
205,Kyzylorda Central,Turkistan Central,corridor,290.9
206,Turkistan Central,Shymkent Central,corridor,156.3
207,Shymkent Central,Taraz Central,corridor,164.4
208,Taraz Central,Shu Central,corridor,217.5
209,Shu Central,Almaty Central,corridor,271.6
210,Kyzylorda Central,Baikonur Central,corridor,204.4
211,Petropavl Central,Kokshetau Central,corridor,176.6
212,Kokshetau Central,Astana Central,corridor,293.3
213,Astana Central,Karaganda Central,corridor,207.4
214,Karaganda Central,Balkhash Central,corridor,364.0
215,Balkhash Central,Saryozek Central,corridor,376.1
216,Saryozek Central,Almaty Central,corridor,153.5
217,Kostanay Central,Atbasar Central,corridor,431.8
218,Atbasar Central,Astana Central,corridor,271.8
219,Kokshetau Central,Kostanay Central,corridor,489.7
220,Astana Central,Ekibastuz Central,corridor,334.8
221,Ekibastuz Central,Pavlodar Central,corridor,153.4
222,Pavlodar Central,Semey Central,corridor,346.9
223,Semey Central,Oskemen Central,corridor,208.1
224,Karaganda Central,Temirtau Central,corridor,30.5
225,Temirtau Central,Astana Central,corridor,178.7
226,Karaganda Central,Jezkazgan Central,corridor,509.9
227,Semey Central,Ayagoz Central,corridor,272.5
228,Ayagoz Central,Almaty Central,corridor,602.9
229,Taldykorgan Central,Saryozek Central,corridor,79.4
230,Taldykorgan Central,Ayagoz Central,corridor,371.3
231,Aktobe Central,Oral Central,corridor,504.2
232,Atyrau Central,Aktobe Central,corridor,569.0
233,Ekibastuz Central,Karaganda Central,corridor,284.9
234,Astana East,Kokshetau South,express,289.3
235,Astana South,Karaganda North,express,167.3
236,Karaganda East,Balkhash East,express,364.0
237,Balkhash East,Ayagoz East,express,479.4
238,Shymkent North,Turkistan South,express,121.5
239,Shymkent East,Taraz East,express,164.4
240,Taraz East,Shu East,express,217.5
241,Almaty North,Taldykorgan South,express,182.3
242,Aktobe North,Kostanay South,express,609.3
243,Atyrau North,Oral South,express,399.0
244,Beyneu East,Aral East,express,574.0
